date,extreme,over_bought,over_sold
2022-01-18 10:22:00,1064.699951171875,57.80590653304097,
2022-01-18 11:14:00,1052.6756591796875,34.54817154239663,
2022-01-18 11:54:00,1052.61181640625,51.78017706925986,
2022-01-18 12:54:00,1037.949951171875,39.32811261119378,
2022-01-18 13:42:00,1041.0888671875,46.16265061373158,
2022-01-18 14:08:00,1043.4176025390625,67.84648546143026,
2022-01-18 14:52:00,1052.6400146484375,54.00854755922084,
2022-01-18 11:08:00,1046.58984375,,42.966644889218834
2022-01-18 11:30:00,1040.5,,49.27405894161202
2022-01-18 12:50:00,1038.81005859375,,32.61339092872571
2022-01-18 13:24:00,1032.65478515625,,39.590745965664574
2022-01-18 13:48:00,1036.9898681640625,,53.73345996008706
2022-01-18 14:22:00,1042.8599853515625,,59.63898362794754
2022-01-19 10:10:00,1031.989990234375,45.69318863194793,
2022-01-19 11:00:00,1018.114990234375,33.62861590564414,
2022-01-19 12:26:00,1026.1917724609375,67.53009717935156,
2022-01-19 12:52:00,1020.5598754882812,53.73819081244122,
2022-01-19 13:50:00,1012.35498046875,40.419653961732955,
2022-01-19 14:46:00,1009.3499755859375,59.94731857604125,
2022-01-19 15:14:00,1007.4249877929688,60.13724177087285,
2022-01-19 10:08:00,1028.5101318359375,,42.05822612042605
2022-01-19 10:48:00,1005.1298828125,,26.289634043685638
2022-01-19 11:28:00,1004.3599853515625,,49.968437194228
2022-01-19 12:42:00,1017.83447265625,,54.76589420064502
2022-01-19 13:34:00,1010.9998779296875,,36.13333499234779
2022-01-19 14:26:00,1003.9600219726562,,27.335244475129088
2022-01-19 15:06:00,1004.0562133789062,,50.39873712857285
2022-01-20 09:52:00,1025.0,,
2022-01-20 10:58:00,1039.719970703125,63.117260189604735,
2022-01-20 11:28:00,1034.0799560546875,46.685223332666155,
2022-01-20 11:54:00,1035.375732421875,50.25928640730928,
2022-01-20 12:40:00,1035.699951171875,70.62781803389625,
2022-01-20 13:40:00,1032.4178466796875,68.96618353598522,
2022-01-20 15:28:00,1003.9099731445312,56.048617602298975,
2022-01-20 10:02:00,1023.9749755859375,,51.4149965092035
2022-01-20 11:20:00,1031.369873046875,,31.416234411212898
2022-01-20 11:42:00,1028.6949462890625,,54.16928469744612
2022-01-20 12:06:00,1031.861572265625,,36.402168506747884
2022-01-20 13:12:00,1030.800048828125,,20.68656791349288
2022-01-20 15:22:00,999.9121704101562,,51.700289339864085
2022-01-21 10:52:00,977.52001953125,62.74593182629297,
2022-01-21 11:26:00,981.94580078125,51.06394615671989,
2022-01-21 12:04:00,970.77001953125,45.978926753806725,
2022-01-21 13:12:00,960.47998046875,52.14493319028577,
2022-01-21 13:42:00,961.5650024414062,55.05184699573719,
2022-01-21 14:08:00,958.6328125,42.1048562762334,
2022-01-21 14:46:00,959.8800048828125,31.61160555311342,
2022-01-21 15:40:00,959.2000122070312,77.88595621845707,
2022-01-21 10:18:00,958.8599853515625,,36.787941780299036
2022-01-21 11:04:00,974.4819946289062,,42.42360147998899
2022-01-21 11:52:00,963.0264892578125,,25.221038770720725
2022-01-21 12:56:00,957.77001953125,,53.52817936326981
2022-01-21 13:24:00,956.50048828125,,48.47225095254936
2022-01-21 13:56:00,960.0,,53.91324609774682
2022-01-21 14:32:00,950.8400268554688,,19.13915643238211
2022-01-21 15:10:00,940.760009765625,,37.72855692343327
2022-01-24 10:04:00,872.1099853515625,61.7248757981109,
2022-01-24 10:44:00,893.3200073242188,44.34423931558047,
2022-01-24 11:56:00,876.1500244140625,54.466328843938236,
2022-01-24 13:14:00,895.3400268554688,46.703825932866344,
2022-01-24 14:02:00,901.0,69.03387290224664,
2022-01-24 09:54:00,876.6500244140625,,
2022-01-24 10:08:00,872.1199951171875,,57.90179694392483
2022-01-24 11:48:00,860.5700073242188,,41.641516821782474
2022-01-24 12:18:00,858.0900268554688,,41.37048182972687
2022-01-24 13:32:00,888.7999877929688,,45.343212925800145
2022-01-24 14:40:00,881.0,,40.21688268766995
2022-01-25 10:00:00,916.77001953125,47.47743866759178,
2022-01-25 10:32:00,924.7739868164062,59.744559207397934,
2022-01-25 10:52:00,927.1953125,78.41223524886206,
2022-01-25 11:50:00,911.0499877929688,45.41713918253669,
2022-01-25 12:08:00,911.7000122070312,63.87170303513156,
2022-01-25 13:56:00,927.4849853515625,64.05878751382636,
2022-01-25 14:54:00,946.0499267578125,51.34582346239398,
2022-01-25 15:40:00,932.0700073242188,33.75170304930508,
2022-01-25 09:48:00,910.72998046875,,
2022-01-25 10:04:00,913.5299072265625,,46.62893170672039
2022-01-25 10:36:00,916.8300170898438,,63.577013799331326
2022-01-25 11:40:00,909.9500122070312,,59.71291764129613
2022-01-25 11:58:00,907.2694702148438,,54.23674913598207
2022-01-25 12:36:00,907.75,,37.510711547423966
2022-01-25 14:02:00,925.1649780273438,,59.552813611488425
2022-01-25 15:32:00,928.2349853515625,,29.35230545945548
2022-01-26 10:06:00,958.4100952148438,55.81815728828581,
2022-01-26 11:24:00,951.0900268554688,50.472659847874866,
2022-01-26 12:08:00,956.0,53.63179140687915,
2022-01-26 12:52:00,961.0,55.308794971056955,
2022-01-26 13:22:00,957.5800170898438,36.42393872549789,
2022-01-26 14:04:00,982.8298950195312,78.2985275138305,
2022-01-26 14:34:00,965.823974609375,55.3670372654269,
2022-01-26 09:36:00,947.02001953125,,
2022-01-26 10:56:00,944.1649780273438,,44.0469973418529
2022-01-26 11:32:00,947.2899780273438,,69.21244896031965
2022-01-26 12:24:00,951.544921875,,57.19471015723125
2022-01-26 13:08:00,956.6400146484375,,33.28382559347561
2022-01-26 13:36:00,956.5900268554688,,48.37467777809009
2022-01-26 14:20:00,962.4630737304688,,62.3449398612735
2022-01-26 15:14:00,923.97998046875,,52.30316151778721
2022-01-27 10:08:00,891.969970703125,50.16089432879587,
2022-01-27 11:02:00,873.0,59.708197777657205,
2022-01-27 11:48:00,875.1099853515625,49.95415355368736,
2022-01-27 12:56:00,866.030029296875,52.320967753507944,
2022-01-27 13:26:00,857.1400146484375,39.862046070859215,
2022-01-27 14:04:00,863.8099975585938,63.300918123623035,
2022-01-27 15:42:00,840.1380004882812,55.74950190896988,
2022-01-27 10:02:00,887.0001220703125,,41.815227881875565
2022-01-27 10:44:00,871.5,,46.373753728438324
2022-01-27 11:26:00,866.5750122070312,,40.64844022751638
2022-01-27 12:40:00,859.27001953125,,39.5081537010697
2022-01-27 13:22:00,855.9400024414062,,38.52030917347484
2022-01-27 13:44:00,855.239990234375,,54.86915158969567
2022-01-27 15:30:00,835.8099975585938,,40.28824006165846
2022-01-28 10:22:00,829.7899780273438,67.5858970933025,
2022-01-28 11:18:00,854.0,40.699817281428025,
2022-01-28 12:00:00,853.1400756835938,47.28735678082368,
2022-01-28 12:44:00,847.19921875,56.48164096553626,
2022-01-28 13:08:00,842.5900268554688,49.32413103949073,
2022-01-28 15:04:00,831.6599731445312,54.45907755949671,
2022-01-28 15:22:00,832.1799926757812,45.2702111198128,
2022-01-28 09:50:00,805.989990234375,,
2022-01-28 10:28:00,824.1799926757812,,53.29190865602644
2022-01-28 11:42:00,848.0,,41.30694474061469
2022-01-28 12:30:00,841.0,,48.83650745290557
2022-01-28 13:02:00,838.9199829101562,,58.3822243491037
2022-01-28 14:22:00,817.8414916992188,,27.148901391367033
2022-01-28 15:12:00,825.7200927734375,,45.62826457044404
2022-01-28 15:30:00,823.75,,55.54945299011176
