,ticker_search,ticker,pos_rev
0,ARE,ARE.TO,1
1,AEM,AEM.TO,1
2,AC,AC.TO,0
3,AGI,AGI.TO,3
4,AQN,AQN.TO,1
5,ATD,ATD.TO,1
6,AP-UN,AP-UN.TO,0
7,ALA,ALA.TO,28
8,AIF,AIF.TO,33
9,ARX,ARX.TO,6
10,ATZ,ATZ.TO,2
11,AX-UN,AX-UN.TO,8
12,ACO-X,ACO-X.TO,7
13,ATA,ATA.TO,2
14,AUP,AUP.TO,1
15,ACB,ACB.TO,68
16,BTO,BTO.TO,0
17,BDGI,BDGI.TO,1
18,BLDP,BLDP.TO,10
19,BMO,BMO.TO,0
20,BNS,BNS.TO,11
21,ABX,ABX.TO,0
22,BHC,BHC.TO,5
23,BCE,BCE.TO,1
24,BIR,BIR.TO,1
25,BB,BB.TO,3
26,BEI-UN,BEI-UN.TO,2
27,BBD-B,BBD-B.TO,5
28,BLX,BLX.TO,2
29,BYD,BYD.TO,0
30,BAM-A,BAM-A.TO,5
31,BBU-UN,BBU-UN.TO,0
32,BIP-UN,BIP-UN.TO,1
33,BPY-UN,BPY-UN.TO,5
34,BEP-UN,BEP-UN.TO,0
35,DOO,DOO.TO,7
36,CAE,CAE.TO,1
37,CCO,CCO.TO,1
38,CF,CF.TO,0
39,GOOS,GOOS.TO,35
40,CAR-UN,CAR-UN.TO,0
41,CM,CM.TO,1
42,CNR,CNR.TO,1
43,CNQ,CNQ.TO,0
44,CP,CP.TO,0
45,CTC-A,CTC-A.TO,1
46,CU,CU.TO,0
47,CWB,CWB.TO,0
48,CFP,CFP.TO,2
49,WEED,WEED.TO,0
50,CPX,CPX.TO,14
51,CS,CS.TO,1
52,CJT,CJT.TO,0
53,CAS,CAS.TO,0
54,CCL-B,CCL-B.TO,1
55,CLS,CLS.TO,0
56,CVE,CVE.TO,10
57,CG,CG.TO,6
58,GIB-A,GIB-A.TO,1
59,CSH-UN,CSH-UN.TO,8
60,CHP-UN,CHP-UN.TO,0
61,CIX,CIX.TO,0
62,CCA,CCA.TO,0
63,CIGI,CIGI.TO,0
64,CUF-UN,CUF-UN.TO,0
65,CSU,CSU.TO,1
66,CTS,CTS.TO,0
67,CJR-B,CJR-B.TO,3
68,CPG,CPG.TO,1
69,CRR-UN,CRR-UN.TO,3
70,CRON,CRON.TO,1
71,CRT-UN,CRT-UN.TO,8
72,DML,DML.TO,5
73,DSG,DSG.TO,6
74,DCBO,DCBO.TO,0
75,DOL,DOL.TO,1
76,DIR-UN,DIR-UN.TO,2
77,D-UN,D-UN.TO,0
78,DPM,DPM.TO,6
79,DND,DND.TO,1
80,ECN,ECN.TO,141
81,ELD,ELD.TO,2
82,EFN,EFN.TO,6
83,EMA,EMA.TO,26
84,EMP-A,EMP-A.TO,0
85,ENB,ENB.TO,1
86,EDR,EDR.TO,1
87,ERF,ERF.TO,0
88,ENGH,ENGH.TO,1
89,EQX,EQX.TO,0
90,EQB,EQB.TO,0
91,ERO,ERO.TO,0
92,EIF,EIF.TO,0
93,FFH,FFH.TO,0
94,FTT,FTT.TO,4
95,FCR-UN,FCR-UN.TO,5
96,FR,FR.TO,2
97,FM,FM.TO,0
98,FSV,FSV.TO,38
99,FTS,FTS.TO,56
100,FVI,FVI.TO,11
101,FNV,FNV.TO,1
102,WN,WN.TO,1
103,GFL,GFL.TO,0
104,GEI,GEI.TO,0
105,GIL,GIL.TO,0
106,GSY,GSY.TO,2
107,GRT-UN,GRT-UN.TO,0
108,GWO,GWO.TO,0
109,HR-UN,HR-UN.TO,1
110,HCG,HCG.TO,0
111,HBM,HBM.TO,0
112,H,H.TO,3
113,IAG,IAG.TO,34
114,IMG,IMG.TO,1
115,IGM,IGM.TO,2
116,IMO,IMO.TO,50
117,INE,INE.TO,14
118,IFC,IFC.TO,0
119,IPL,IPL.TO,21
120,IFP,IFP.TO,11
121,IIP-UN,IIP-UN.TO,0
122,ITP,ITP.TO,0
123,IVN,IVN.TO,0
124,JWEL,JWEL.TO,92
125,KNT,KNT.TO,5
126,KEY,KEY.TO,1
127,KMP-UN,KMP-UN.TO,1
128,KXS,KXS.TO,0
129,K,K.TO,0
130,KL,KL.TO,0
131,LIF,LIF.TO,1
132,LB,LB.TO,0
133,LWRK,LWRK.TO,0
134,LSPD,LSPD.TO,0
135,LNR,LNR.TO,0
136,LAC,LAC.TO,0
137,L,L.TO,0
138,LUN,LUN.TO,0
139,MAG,MAG.TO,0
140,MG,MG.TO,0
141,MFC,MFC.TO,0
142,MFI,MFI.TO,0
143,MRE,MRE.TO,0
144,MEG,MEG.TO,0
145,MX,MX.TO,0
146,MRU,MRU.TO,0
147,MTY,MTY.TO,0
148,MTL,MTL.TO,0
149,NXE,NXE.TO,0
150,NFI,NFI.TO,0
151,NPI,NPI.TO,0
152,NWH-UN,NWH-UN.TO,0
153,NG,NG.TO,0
154,NTR,NTR.TO,0
155,NVEI,NVEI.TO,0
156,OGC,OGC.TO,0
157,ONEX,ONEX.TO,0
158,OTEX,OTEX.TO,0
159,OGI,OGI.TO,0
160,OR,OR.TO,0
161,OSK,OSK.TO,0
162,PAAS,PAAS.TO,0
163,PXT,PXT.TO,0
164,PKI,PKI.TO,0
165,PPL,PPL.TO,0
166,POW,POW.TO,0
167,PSK,PSK.TO,0
168,PBH,PBH.TO,0
169,PVG,PVG.TO,0
170,PRMW,PRMW.TO,0
171,QBR-B,QBR-B.TO,0
172,REAL,REAL.TO,0
173,QSR,QSR.TO,0
174,RCH,RCH.TO,0
175,REI-UN,REI-UN.TO,0
176,RBA,RBA.TO,0
177,RCI-B,RCI-B.TO,0
178,RY,RY.TO,0
179,RUS,RUS.TO,0
180,SSL,SSL.TO,0
181,SAP,SAP.TO,0
182,SEA,SEA.TO,0
183,SJR-B,SJR-B.TO,0
184,SHOP,SHOP.TO,0
185,SIA,SIA.TO,0
186,SVM,SVM.TO,0
187,SIL,SIL.TO,0
188,ZZZ,ZZZ.TO,0
189,SRU-UN,SRU-UN.TO,0
190,SNC,SNC.TO,0
191,TOY,TOY.TO,0
192,SII,SII.TO,0
193,SSRM,SSRM.TO,0
194,STN,STN.TO,0
195,STLC,STLC.TO,0
196,SJ,SJ.TO,0
197,SMU-UN,SMU-UN.TO,0
198,SLF,SLF.TO,0
199,SU,SU.TO,0
200,SOY,SOY.TO,0
201,SPB,SPB.TO,0
202,TRP,TRP.TO,0
203,TECK-B,TECK-B.TO,0
204,T,T.TO,0
205,TIXT,TIXT.TO,0
206,TFII,TFII.TO,0
207,NWC,NWC.TO,0
208,TRI,TRI.TO,0
209,TLRY,TLRY.TO,0
210,X,X.TO,0
211,TXG,TXG.TO,0
212,TIH,TIH.TO,0
213,TD,TD.TO,0
214,TOU,TOU.TO,0
215,TA,TA.TO,0
216,RNW,RNW.TO,0
217,TCL-A,TCL-A.TO,0
218,TCN,TCN.TO,0
219,TSU,TSU.TO,0
220,TRQ,TRQ.TO,0
221,VET,VET.TO,0
222,VFF,VFF.TO,0
223,WCN,WCN.TO,0
224,WELL,WELL.TO,0
225,WDO,WDO.TO,0
226,WFG,WFG.TO,0
227,WPRT,WPRT.TO,0
228,WTE,WTE.TO,0
229,WPM,WPM.TO,0
230,WCP,WCP.TO,0
231,WPK,WPK.TO,0
232,WIR-UN,WIR-UN.TO,0
233,WSP,WSP.TO,0
234,YRI,YRI.TO,0
